,highlights,paraphrased_highlights
587,Contact allergic gastritis : Rare manifestation of a metal allergy.,Contact allergic gastritis : rare manifestation of metal allergy.
588,A very rare case of a small bowel leiomyosarcoma leading to ileocaecal intussusception treated with a laparoscopic resection: a case report and a literature review.,A very rare case of a small intestinal leiomyosarcoma leading to intussusception of the ileocaecal tissue with a laparoscopic procedure : a case report and a literature review
589,Characterization of the Gut Microbial Community of Obese Patients Following a Weight-Loss Intervention Using Whole Metagenome Shotgun Sequencing.,Characterization of the Gut Microbial Community of Obese Patients Following a Weight-Loss Intervention Using Whole Metagenome Shotgun Sequencing
590,Bacillus coagulans MTCC 5856 supplementation in the management of diarrhea predominant Irritable Bowel Syndrome: a double blind randomized placebo controlled pilot clinical study.,MTCC 5856 - Counting Bacillus coagulans in the management of the predominant diarrheal digestive disorder: a double-blind randomized placebo-controlled trial clinical study.
591,The New Era of Treatment for Obesity and Metabolic Disorders: Evidence and Expectations for Gut Microbiome Transplantation.,The New Era of Treating Obesity and Metabolic Disorders - Evidence and Expectations for Gut Microbiome Transplantation.
592,Liraglutide for treating type 1 diabetes.,Liraglutide for the treatment of Type 1 Diabetes.
593,Effects of Elaeagnus angustifolia L. on Lipid Profile and Atherogenic Indices in Obese Females: A Randomized Controlled Clinical Trial.,The effects of Elaeagnus angustifolia L. on blood pressure and heart disease in obese females: a randomized controlled clinical trial
594,Analysis of Gut Microbiome Reveals Significant Differences between Men with Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Controls.,Analysis of the gut microbiome uncovers significant differences between men with Chronic Prostatitis and Chronic Pelvic Pain Syndrome and control groups.
595,Clinical Applicability of Various Treatment Approaches for Upper Gastrointestinal Submucosal Tumors.,Clinical Application of Various Treatment Approaches for Upper Gastrointestinal Submucosal Tumors
596,"Cardiovascular, biochemical and hormonal changes during food-induced hypotension in chronic autonomic failure.","In chronic autonomic failure, cardiovascular, biochemical and hormonal changes occur during food-induced hypotension."
597,Cronkhite-Canada Syndrome: A Rare Cause of Chronic Diarrhoea in a Young Man.,Cronkhite-Canada Syndrome : A Rare Cause of Chronic Diarrhoea in a Young Man
598,liraglutide (SAXENDA⁰) and obesit. Still no satisfactory weight loss drugs.," Liraglutide (SAXENDA0) and obesit, still no satisfactory weight loss drugs."
599,Primary leiomyosarcoma of the pancreas: report of a case treated by local excision and review of the literature.,Primary leiomyosarcoma of the pancreas: report of a case treated with local excision and review of the literature.
600,The Effect of Preoperative Oral Immunonutrition on Complications and Length of Hospital Stay After Elective Surgery for Pancreatic Cancer--A Randomized Controlled Trial.,The effects of preoperative oral immunonutrition on complication and the length of hospital stay after elective surgery for pancreatic cancer : A randomized controlled trial
601,American Society for Metabolic and Bariatric Surgery position statement on long-term survival benefit after metabolic and bariatric surgery.,American Society for Metabolic and Bariatric Surgery position statement on the long-term survival benefit following metabolic and bariatric surgery
602,Nucleotide 9-mers characterize the type II diabetic gut metagenome.,Nucleotide 9-mers characterize the diabetic gut metagenome of Type II.
603,Analysis of Gut Microbiota in Coronary Artery Disease Patients: a Possible Link between Gut Microbiota and Coronary Artery Disease.,Analysis of Gut Microbiota in Coronary Artery Disease Patients : a Possible Link between Gut Microbiota and Coronary Artery Disease
604,Effects of body mass index or dosage on gastrointestinal disorders associated with extended-release metformin in type 2 diabetes: Sub-analysis of a Phase IV open-label trial in Chinese patients.,Effects of body mass index or dosage on gastrointestinal disorders associated with extended-release metformin in type 2 diabetes: Sub-analysis of a phase IV open-label trial in Chinese patients
605,Obesity and Asthma: Microbiome-Metabolome Interactions.,Obesity and asthma: microbiome-metabolome interactions
606,Impact of Abdominal Shape on Short-Term Surgical Outcome of Laparoscopy-Assisted Distal Gastrectomy for Gastric Cancer.,Impact of abdominal shape on the short-term Surgical Outcome of Laparoscopy-Assisted Distal Gastrectomy for Gastric Cancer
607,Effect of Naltrexone-Bupropion on Major Adverse Cardiovascular Events in Overweight and Obese Patients With Cardiovascular Risk Factors: A Randomized Clinical Trial.,The effect of Naltrexone-Bupropion on major adverse cardiovascular events in overweight and obese patients with cardiovascular risk factors: A randomized clinical trial
608,An unusual case of intraabdominal abscess and acute abdomen caused by axial torsion of a Meckel's diverticulum.,An unusual case of intraabdominal abscess and acute abdomen caused by the axial torsion of the diverticulum of Meckel.
609,High-resolution Impedance Manometry after Sleeve Gastrectomy: Increased Intragastric Pressure and Reflux are Frequent Events.,High-Resolution Impedance Manometry after Sleeve Gastrectomy : Increased intragastric pressure and reflux are frequent events.
610,To characterize the incidence of airway misplacement of nasogastric tubes in anesthetized intubated patients by using a manometer technique.,The incidence of airway misplacement of Nasogastric tubes in anesthetized intubated patients by using a manometer technique.
611,Exocrine Pancreatic Insufficiency after Roux-en-Y gastric bypass.,Exocrine Pancreatic Insufficiency after Roux-en-Y gastric bypass
612,Analysis of Biopsies From Duodenal Bulbs of All Endoscopy Patients Increases Detection of Abnormalities but has a Minimal Effect on Diagnosis of Celiac Disease.,"Analysis of biopsies from duodenal luminal of all endoscopy patients increases the detection of abnormalities, but has a minimal effect on diagnosis of celiac disease."
613,Synchronous rectal adenocarcinoma and splenic marginal zone lymphoma.,Synchronous rectal adenocarcinoma and splenic marginal lymphoma
614,"In-hospital weekend outcomes in patients diagnosed with bleeding gastroduodenal angiodysplasia: a population-based study, 2000 to 2011.","In-hospital weekend outcomes in patients with throbbing gastroduodenal angiodysplasia: a population-based study, 2000 to 2011."
615,Current views on the diagnosis and management of hypokalaemia in children.,Current views on the diagnosis and management of hypokalaemia in children.
616,"An Analysis of the Clinical, Endoscopic, and Pathologic Features of Intestinal Tuberculosis.","Analysis of Clinical, Endoscopic, and Pathologic Features of Intestinal Tuberculosis."
617,Effects of different metabolic states and surgical models on glucose metabolism and secretion of ileal L-cell peptides: protocol for a cross-sectional study.,Effects of different metabolic states and surgical models on glucose metabolism and secretion of L-cell peptides : a cross-sectional study protocol.
618,Morphological pathology of vessels in granulomatosis with polyangiitis (Wegener's disease).,Morphological pathology of vessels in granulomatosis with polyangiitis (Wegener's disease)
619,Hirschsprung's disease - Postsurgical intestinal dysmotility.,Hirschsprung's disease - Postsurgical intestinal dysmotility
620,Calprotectin or Lactoferrin: Do They Help.,Calprotectin or lactoferrin Help.
621,Diagnostic accuracy of triple-contrast multi-detector computed tomography for detection of penetrating gastrointestinal injury: a prospective study.,Diagnostic accuracy of three-contrast multi-detector computed tomography for detection of penetration-related gastrointestinal injury: a prospective study
622,Duodenal Adenocarcinoma Metastatic to the Breast: A Case Report.,A mouse Duodenal Adenocarcinoma metastatic to the breast :
623,Disseminated Mycobacterium marinum Infection With a Destructive Nasal Lesion Mimicking Extranodal NK/T Cell Lymphoma: A Case Report.,A disseminated Mycobacterium marinum infection with a destructive Nasal lesion Mimicking extranodal NK/T cell lymphoma : a case report.
624,Does Routine Midazolam Administration Prior to Nasogastric Tube Insertion in the Emergency Department Decrease Patients' Pain? (A Pilot Study).,Does Routine Midazolam Administration prior to Nasogastric Tube Insertion in the Emergency Department Lower Patients’ Pain?
625,Enterobius vermicularis and its role in paediatric appendicitis: protection or predisposition?,Enterobius vermicularis and its role in paediatric appendicitis : protection or a predisposition?
626,How Does the Level of Nerve Root Resection in En Bloc Sacrectomy Influence Patient-Reported Outcomes?,How does the level of nerve root resection in the En Bloc Sacrectomy influence patient reports?
627,Gastric Perforation following Intragastric Balloon Insertion: Combined Endoscopic and Laparoscopic Approach for Management: Case Series and Review of Literature.,Perforation following insertion of intravascular balloons: Combination of the endoscopic and laparoscopic approach for management : case series and review of literature
628,Relationship of Body Mass Index to Clinical Outcomes after Infliximab Therapy in Patients with Crohn's Disease.,In-patient Relationship of the Body Mass Index to Clinical Outcomes Following Infliximab Therapy in patients with Crohn's Disease
629,Unexpected Stealing From the Heart.,The Unexpected Stealing From the Heart.
630,Effect of body mass index on postoperative outcomes in patients with gastric cancer.,Effect of the body mass index on postoperative outcomes in patients with gastric cancer.
631,Healthy Lifestyle Pattern is Protective Against 30-Yr Cancer Incidence in Men and Women: A Cohort Study.,A healthy lifestyle pattern is protective against 30-Yr Cancer Incidence in Men and Women: a cohort study.
632,Respiratory and gastrointestinal dysfunctions associated with auriculo-condylar syndrome and a homozygous PLCB4 loss-of-function mutation.,Respiratory and gastrointestinal dysfunctions associated with auriculocondylar syndrome and homozygous PLCB4 loss of function
